Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uf","C_0402_1005Metric",-145.745200,-97.840800,-90.000000,bottom
"C8","0.1uf","C_0402_1005Metric",-163.039000,-96.215200,0.000000,bottom
"C9","0.1uf","C_0402_1005Metric",-162.581800,-94.157800,90.000000,bottom
"C10","10uf","C_0402_1005Metric",-163.521600,-94.155200,90.000000,bottom
"C11","0.1uf","C_0402_1005Metric",-149.325600,-93.675200,180.000000,bottom
"C12","0.1uf","C_0402_1005Metric",-149.301200,-96.215200,180.000000,bottom
"R9","0R","R_0402_1005Metric",-162.632600,-98.171000,-90.000000,bottom
"R10","24E","R_0402_1005Metric",-163.089800,-101.295200,0.000000,bottom
"R11","24E","R_0402_1005Metric",-163.089800,-100.025200,0.000000,bottom
"R13","0R","R_0402_1005Metric",-149.301200,-97.485200,0.000000,bottom
"R14","24E","R_0402_1005Metric",-149.274200,-101.295200,0.000000,bottom
"R15","24E","R_0402_1005Metric",-149.299600,-100.025200,0.000000,bottom
"U3","ADUM4160","SOIC-16W_7.5x10.3mm_P1.27mm",-156.182800,-98.120200,180.000000,bottom
"C2","4.7uf","C_0402_1005Metric",150.871200,-100.561000,180.000000,top
"C3","0.1uf","C_0402_1005Metric",150.871200,-101.500800,180.000000,top
"C5","4.7uf","C_0402_1005Metric",153.512800,-103.355000,-90.000000,top
"C6","0.1uf","C_0402_1005Metric",150.868600,-102.440600,180.000000,top
"D1","LED","LED_0603_1608Metric",159.156400,-90.525600,180.000000,top
"D2","SP0503BAHT","SOT-143",149.818600,-97.561400,180.000000,top
"D3","LED","LED_0603_1608Metric",160.904200,-101.602400,-90.000000,top
"D4","LED","LED_0603_1608Metric",159.405600,-101.602400,-90.000000,top
"D5","LED","LED_0603_1608Metric",144.195800,-91.338300,90.000000,top
"J2","Conn_02x03_Odd_Even","IDC-Header_2x03_P2.54mm_Vertical_SMD",168.493600,-97.561400,0.000000,top
"J3","USB_B_Micro","USB_Micro-B_Molex-105017-0001",145.491200,-97.840800,-90.000000,top
"Q1","SS8050","SOT-23",157.145000,-94.211000,-90.000000,top
"Q2","SS8050","SOT-23",153.726200,-94.208700,-90.000000,top
"R1","2.2k","R_0402_1005Metric",156.718000,-90.474800,180.000000,top
"R2","2.2k","R_0402_1005Metric",161.412200,-103.609000,0.000000,top
"R3","2.2k","R_0402_1005Metric",158.899600,-103.609000,180.000000,top
"R6","1K","R_0402_1005Metric",154.478000,-103.355000,90.000000,top
"R7","10k","R_0402_1005Metric",157.043400,-91.772600,0.000000,top
"R8","10k","R_0402_1005Metric",151.511000,-93.954600,-90.000000,top
"R12","2.2k","R_0402_1005Metric",146.253200,-91.819000,-90.000000,top
"U2","CP2102N-Axx-xQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",155.217000,-99.316400,0.000000,top
